Molecule ChEMBL ID,Molecular Weight,AlogP,#RO5 Violations,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Smiles
CHEMBL5173596,387.82,3.82,0.0,IC50,'=',70396.7,nM,4.15,COc1cc2ncnc3c2cc1OCCOCCOc1ccc(Cl)c(c1)N3
CHEMBL5208312,417.87,5.51,1.0,IC50,'=',655.1,nM,6.18,COc1cc2ncnc3c2cc1OCCCCCCOc1cc(F)c(Cl)cc1N3
CHEMBL5192038,431.88,3.84,0.0,IC50,'=',448.5,nM,6.35,COc1cc2ncnc3c2cc1OCCOCCOCCOc1c(Cl)cccc1N3
CHEMBL5184313,399.88,5.37,1.0,IC50,'=',698.3,nM,6.16,COc1cc2ncnc3c2cc1OCCCCCCOc1cccc(Cl)c1N3
CHEMBL5169346,431.88,3.84,0.0,IC50,'=',326.0,nM,6.49,COc1cc2ncnc3c2cc1OCCOCCOCCOc1cc(Cl)ccc1N3
CHEMBL1744086,462.91,3.25,0.0,IC50,'=',95.0,nM,7.02,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC[C@@H](O)CN1CCOCC1
CHEMBL7866,373.79,3.21,0.0,IC50,'=',12500.0,nM,4.9,COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21
CHEMBL5865390,456.51,2.88,0.0,IC50,'=',550.0,nM,6.26,COc1ccccc1C(=O)NCc1ccc(-c2nn([C@H]3C=C[C@@H](O)C3)c3ncnc(N)c23)cc1
CHEMBL5625037,500.61,3.97,1.0,IC50,'=',21.3,nM,7.67,C=CC(=O)Nc1cc(Nc2nccc(-c3nc(C)c4ccccn34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5647295,422.85,6.0,1.0,IC50,'=',1.995,nM,8.7,C=Cc1cc(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)ccn1
CHEMBL5594919,668.6,6.48,2.0,IC50,'=',12.5,nM,7.9,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C(=O)c1ccc(Br)cc1
CHEMBL5624580,526.65,4.51,1.0,IC50,'=',82.8,nM,7.08,C=CC(=O)Nc1cc(Nc2nccc(-c3cnc4c(C)cccn34)n2)c(OC)cc1N(C)C1CCCN(C)C1
CHEMBL5195904,701.6,5.75,3.0,IC50,'=',0.09,nM,10.05,CCOC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1
CHEMBL43689,222.25,2.85,0.0,IC50,'=',71700.0,nM,4.14,N#C/C(=C\c1ccc(O)cc1)c1ccccn1
