Molecule ChEMBL ID,Molecular Weight,AlogP,#RO5 Violations,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Smiles
CHEMBL6034481,574.71,5.7,2.0,IC50,'=',25.0,nM,7.6,C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cc(F)c4nc(C)n(C(C)C)c4c3)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL6061951,545.62,5.24,2.0,IC50,'=',25.0,nM,7.6,C=CC(=O)Nc1cc(Nc2nccc(-c3cc(F)c4nc(C)n(C(C)C)c4c3)n2)c(OC)cc1N1CCOCC1
CHEMBL1254199,408.3,4.66,0.0,IC50,'=',53100.0,nM,4.28,CN(c1cccc(Br)c1)c1nc(N)nc2[nH]c(Cc3ccccc3)cc12
CHEMBL5900674,581.6,5.32,2.0,IC50,'=',6200.0,nM,5.21,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CC5CCC(C4)N5C(C)=O)cc3OC)ncc2C(F)(F)F)c1
CHEMBL1241483,301.33,2.8,0.0,IC50,'=',3860.0,nM,5.41,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1F
CHEMBL1242377,287.3,2.5,0.0,IC50,'=',1400.0,nM,5.85,CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21
CHEMBL413987,507.98,4.22,1.0,IC50,'=',191.0,nM,6.72,C[C@@H](CN(C)C(=O)CO)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12
CHEMBL401251,389.46,4.11,0.0,IC50,'=',52.8,nM,7.28,COCCOc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC
CHEMBL3218424,299.53,,,IC50,'=',650.0,nM,6.19,OB(O)c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
CHEMBL6049383,590.63,5.25,2.0,IC50,'=',88.0,nM,7.06,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(C4CCN(S(C)(=O)=O)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL5767529,597.64,5.42,2.0,IC50,'=',1.5,nM,8.82,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCC(N5CCOCC5)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL4083815,416.89,5.22,1.0,IC50,'=',78230.0,nM,4.11,O=c1c2ccccc2nc(-c2ccccc2)n1-c1nnc(-c2ccccc2Cl)s1
CHEMBL1272324,465.62,3.62,0.0,IC50,'=',9.0,nM,8.05,CCN(CC)C/C=C/C(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1
CHEMBL1271507,492.65,2.53,0.0,IC50,'=',89.0,nM,7.05,CN1CCN(C/C=C/C(=O)N2CCc3c(sc4ncnc(N[C@H](CO)c5ccccc5)c34)C2)CC1
CHEMBL1272167,416.53,2.67,0.0,IC50,'=',2480.0,nM,5.61,C=CS(=O)(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1
CHEMBL1272325,479.61,2.61,0.0,IC50,'=',1399.0,nM,5.85,O=C(/C=C/CN1CCOCC1)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1
CHEMBL1271562,435.6,4.26,0.0,IC50,'=',5750.0,nM,5.24,CC[C@@H](Nc1ncnc2sc3c(c12)CCN(C(=O)/C=C/CN(C)C)C3)c1ccccc1
CHEMBL3545308,555.56,4.78,1.0,IC50,'=',2.1,nM,8.68,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL4087538,517.61,4.65,1.0,IC50,'=',6.0,nM,8.22,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL207815,502.98,2.79,1.0,IC50,'=',6.0,nM,8.22,COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1
CHEMBL207130,486.98,3.56,0.0,IC50,'=',9.0,nM,8.05,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1
CHEMBL383760,443.91,3.88,0.0,IC50,'=',100.0,nM,7.0,CNC(=O)[C@H]1CCCN1Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC
CHEMBL206955,429.88,3.62,0.0,IC50,'=',40.0,nM,7.4,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@@H]1C(N)=O
CHEMBL436511,476.97,4.87,0.0,IC50,'=',690.0,nM,6.16,CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23)CC1
CHEMBL197640,492.98,6.22,1.0,IC50,'=',5.0,nM,8.3,CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)CC1
CHEMBL197525,398.89,4.51,0.0,IC50,'=',1800.0,nM,5.75,COc1ccc(Nc2ncnc3cccc(OC4CCN(C)CC4)c23)cc1Cl
CHEMBL7917,315.76,4.04,0.0,IC50,'=',5.0,nM,8.3,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
CHEMBL50344,329.2,4.18,0.0,IC50,'=',4.074,nM,8.39,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL553,393.44,3.41,0.0,IC50,'=',60.0,nM,7.22,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
CHEMBL119982,350.81,4.36,0.0,IC50,'=',870.0,nM,6.06,Clc1cccc(Nc2[nH]nc3ncnc(NCc4ccccc4)c23)c1
CHEMBL49596,321.17,2.88,0.0,IC50,'=',5600.0,nM,5.25,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21
CHEMBL1242024,283.34,2.67,0.0,IC50,'=',954.0,nM,6.02,Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12
CHEMBL1242380,343.39,1.72,0.0,IC50,'=',12000.0,nM,4.92,COc1ccc(-c2nn(C[C@H](C)CO)c3ncnc(N)c23)cc1OC
CHEMBL1242569,325.37,2.67,0.0,IC50,'=',5080.0,nM,5.29,C=CCn1nc(-c2ccc(OCC)c(OC)c2)c2c(N)ncnc21
CHEMBL1240554,353.43,3.6,0.0,IC50,'=',1400.0,nM,5.85,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC
CHEMBL1173191,484.17,4.51,0.0,IC50,'=',10640.0,nM,4.97,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc([N+](=O)[O-])cc1
CHEMBL5770931,514.59,3.55,1.0,IC50,'=',5500.0,nM,5.26,COCCO[C@H]1C=C[C@H](n2nc(-c3ccc(CNC(=O)c4ccccc4OC)cc3)c3c(N)ncnc32)C1
CHEMBL5963440,514.59,3.35,1.0,IC50,'=',5500.0,nM,5.26,COCCNc1ncnc2c1c(-c1ccc(CNC(=O)c3ccccc3OC)cc1)nn2[C@H]1C=C[C@H](O)C1
CHEMBL53310,252.28,2.21,0.0,IC50,'=',13.18,nM,7.88,CNc1ncc2ncnc(Nc3ccccc3)c2n1
CHEMBL96780,345.2,3.73,0.0,IC50,'=',3.802,nM,8.42,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N
CHEMBL394462,355.41,3.57,0.0,IC50,'=',200.0,nM,6.7,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12
CHEMBL247101,382.83,5.15,1.0,IC50,'=',250.0,nM,6.6,Cc1ccn2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12
CHEMBL3958631,517.81,5.35,2.0,IC50,'=',5.0,nM,8.3,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Br)c(Cl)c4)ncnc3cc2OC)CC1
CHEMBL5968961,404.47,3.94,0.0,IC50,'=',81.0,nM,7.09,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccccc4)ncnc3cc2OC)CC1
CHEMBL50245,344.22,3.6,0.0,IC50,'=',324.0,nM,6.49,CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2n1
CHEMBL5922408,441.44,4.13,0.0,IC50,'=',550.0,nM,6.26,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(O[C@@H](C)CO)c(F)c3)ncc2F)c1
CHEMBL5836125,347.42,4.62,0.0,IC50,'=',1050.0,nM,5.98,CCC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C)c1
CHEMBL6058695,595.69,6.09,2.0,IC50,'=',0.679,nM,9.17,COc1cc(N2CCC3(CC2)CN(C)C3)c(C)cc1Nc1ncc(C#N)c(Nc2ccc3ccccc3c2P(C)(C)=O)n1
CHEMBL6026402,590.04,4.96,1.0,IC50,'=',67.6,nM,7.17,COc1ccc(OCCNS(C)(=O)=O)cc1Nc1ncc(Cl)c(Nc2ccc3ccccc3c2P(C)(C)=O)n1
CHEMBL122721,470.65,6.85,1.0,IC50,'=',27200.0,nM,4.57,CCCCCCCCCCCCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O
CHEMBL5926423,443.46,3.81,0.0,IC50,'=',230.0,nM,6.64,C=CC(=O)N1CC(Oc2cc3c(Nc4cccc(-c5cnco5)c4)ncnc3cc2OC)C1
CHEMBL377277,361.8,4.96,0.0,IC50,'=',8068.0,nM,5.09,COc1cc(OC(C)C)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1
CHEMBL425601,486.98,3.55,0.0,IC50,'=',35.0,nM,7.46,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1
CHEMBL207674,445.88,2.86,0.0,IC50,'=',90.0,nM,7.05,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCOCC1C(N)=O
CHEMBL2426377,457.54,3.91,0.0,IC50,'=',24000.0,nM,4.62,COc1ccc(NC(=O)/C=C/CN(C)C)cc1Nc1ncc(C)c(-c2cnn3ccccc23)n1
CHEMBL195218,540.55,3.15,1.0,IC50,'=',4200.0,nM,5.38,CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCCCS(C)(=O)=O)c(C(C)C)c23)c(F)cc1F
CHEMBL2425089,460.96,4.6,0.0,IC50,'=',52.0,nM,7.28,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC2(CSC2)C1
CHEMBL2425084,432.88,3.62,0.0,IC50,'=',25.0,nM,7.6,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC(O)C1
CHEMBL2424801,401.86,5.07,1.0,IC50,'=',4700.0,nM,5.33,O=C(/C=C/c1cccnc1)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
CHEMBL3092305,515.93,4.18,1.0,IC50,'=',265.0,nM,6.58,COC(=O)/C=C/CNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
CHEMBL3092303,530.99,3.48,1.0,IC50,'=',4212.0,nM,5.38,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCN(CCO)CC1
CHEMBL3092297,503.94,5.3,2.0,IC50,'=',1824.0,nM,5.74,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCC(F)CC1
CHEMBL3092321,500.96,4.11,1.0,IC50,'=',5578.0,nM,5.25,CN1CCN(C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]2CCOC2)CC1
CHEMBL3092322,461.88,3.45,0.0,IC50,'=',27.0,nM,7.57,O=C(NCCO)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
CHEMBL5990895,421.89,4.07,0.0,IC50,'=',3500.0,nM,5.46,C=CC(=O)N1CC(Oc2cc3c(Nc4ccc(Cl)c(C5CC5)c4)ncnc3cn2)C1
CHEMBL5767790,407.41,4.0,0.0,IC50,'=',550.0,nM,6.26,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)OCCO4)ncc2F)c1
CHEMBL116547,447.51,5.04,1.0,IC50,'=',4500.0,nM,5.35,COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(CSCc2ccccc2)c1O
CHEMBL433520,445.37,3.65,0.0,IC50,'=',4.6,nM,8.34,CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL169757,286.34,3.67,0.0,IC50,'=',500.0,nM,6.3,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1
CHEMBL1241683,338.8,3.86,0.0,IC50,'=',100000.0,nM,4.0,CC(C)n1nc(-c2ccc3nc(Cl)ccc3c2)c2c(N)ncnc21
CHEMBL1242033,419.49,4.55,0.0,IC50,'=',100000.0,nM,4.0,CC(C)n1nc(-c2ccc3nccc(NC(=O)OC(C)(C)C)c3c2)c2c(N)ncnc21
CHEMBL5972189,613.14,6.24,2.0,IC50,'=',3.0,nM,8.52,Cn1ccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=C(F)N(C45CC(C4)C5)NN3)cccc2c1=O
CHEMBL545541,331.8,3.26,0.0,IC50,'=',4.0,nM,8.4,COc1cc2ncnc(NCc3ccccc3)c2cc1OC.Cl
CHEMBL5887780,543.02,5.63,2.0,IC50,'=',68.0,nM,7.17,Cc1ncoc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(F)F)CC2)NN1
CHEMBL1928958,627.07,8.05,2.0,IC50,'=',523.0,nM,6.28,COc1ccc(/C=C/C(=O)Nc2cccc(Oc3cc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncn3)c2)cc1OC
CHEMBL29197,360.21,4.15,0.0,IC50,'=',230.0,nM,6.64,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
CHEMBL3699618,611.67,6.2,2.0,IC50,'=',65.0,nM,7.19,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(=O)CC(C)(C)C)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL289213,440.3,4.13,0.0,IC50,'=',0.72,nM,9.14,CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12
CHEMBL5899723,1166.41,,,IC50,'=',120.0,nM,6.92,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CN2CCN(CCOCCOCCOCCOCC#Cc3cccc4c3C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)CC2)C(C)(C)C)cc1
CHEMBL5905751,441.5,2.85,0.0,IC50,'=',4.3,nM,8.37,Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3[C@H]3CCC[C@H](O)C3)cc(C#N)n2)cn1
CHEMBL5847689,434.53,2.59,0.0,IC50,'=',2.0,nM,8.7,Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3C3CCC[S+]([O-])C3)ccn2)cn1
CHEMBL6023158,542.69,3.04,1.0,IC50,'=',318.0,nM,6.5,Cc1cc(C(=O)/N=c2\[nH]c3ccc(CN4CCN(C)CC4)cc3n2[C@H]2CC[C@@H](O)CC2)cc(-c2cnn(C)c2)n1
CHEMBL5828125,529.65,3.12,1.0,IC50,'=',1.8,nM,8.74,Cc1cc(C(=O)/N=c2\[nH]c3ccc(CN4CCOCC4)cc3n2[C@H]2CC[C@@H](O)CC2)cc(-c2cnn(C)c2)n1
CHEMBL4449589,387.44,2.94,0.0,IC50,'=',57.2,nM,7.24,CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3cccnc3)c2)[nH]c2ccccc21
CHEMBL3297816,239.28,3.58,0.0,IC50,'=',113.2,nM,6.95,Cc1nc(Nc2ccccc2)c2cc(C)oc2n1
CHEMBL289162,397.23,4.18,0.0,IC50,'=',5.1,nM,8.29,O=C(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL5897403,400.49,3.93,0.0,IC50,'=',4.7,nM,8.33,Cc1c(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3C3CCCC3)ccn2)cnn1C
CHEMBL5861020,400.49,3.93,0.0,IC50,'=',14.2,nM,7.85,Cc1nn(C)cc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2C2CCCC2)ccn1
CHEMBL5963945,508.63,5.01,2.0,IC50,'=',7.2,nM,8.14,CC(=O)N1CCC(c2ccc3c(c2)[nH]/c(=N\C(=O)c2ccnc(-c4cccnc4)c2)n3C2CCCC2)CC1
CHEMBL5786240,443.55,3.61,0.0,IC50,'=',13.7,nM,7.86,CN(C)Cc1cccc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3CC(C)(C)O)ccn2)c1
CHEMBL5785047,533.64,4.16,1.0,IC50,'=',2.0,nM,8.7,CC(C)(C)CNc1c(C#N)cnc2c(C#N)cc(N[C@H](C3=CN(C4CC4)NN3)c3cccc4c3C(=O)NC4)cc12
CHEMBL5893107,460.51,4.4,0.0,IC50,'=',4.6,nM,8.34,COc1ccc(F)cc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@H]2CC[C@@H](O)CC2)ccn1
CHEMBL5758879,456.55,4.57,0.0,IC50,'=',1179.0,nM,5.93,COc1c(C)cccc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@H]2CC[C@@H](O)CC2)ccn1
CHEMBL5965573,458.52,3.23,0.0,IC50,'=',77.1,nM,7.11,COc1ccccc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@@H]2CC[C@H](O)[C@@H](O)C2)ccn1
CHEMBL56912,420.87,3.79,0.0,IC50,'=',8.0,nM,8.1,COCCNCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC
CHEMBL215716,542.64,5.92,2.0,IC50,'=',16.0,nM,7.8,[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(F)c5)c4c3)o2)CC1
CHEMBL212954,577.08,6.57,2.0,IC50,'=',28.0,nM,7.55,[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)CC1
CHEMBL212250,644.12,8.0,2.0,IC50,'=',25.0,nM,7.6,O=S(=O)(CCOCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)c1ccccc1
CHEMBL1794063,643.14,7.57,2.0,IC50,'=',19.0,nM,7.72,O=S(=O)(CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)c1ccccc1
CHEMBL387207,596.63,6.37,2.0,IC50,'=',160.0,nM,6.8,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(C(F)(F)F)c4)c3c2)o1
CHEMBL6031063,436.9,3.79,0.0,IC50,'=',3890.0,nM,5.41,N#CN1CCCC(n2nc(-c3ccc(Oc4ccc(Cl)cc4)cc3)c(C(N)=O)c2N)C1
CHEMBL156555,646.88,8.73,2.0,IC50,'=',100000.0,nM,4.0,O=C(CCCc1c(SSc2[nH]c3ccccc3c2CCCC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1
CHEMBL545006,359.9,4.32,0.0,IC50,'=',1800.0,nM,5.75,Cl.O=C(CCN1CCCCC1)c1ccc(OCc2ccccc2)cc1
CHEMBL287832,411.31,4.05,0.0,IC50,'=',262.0,nM,6.58,CN(C)CCn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL3353409,513.65,4.82,1.0,IC50,'=',2000.0,nM,5.7,C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL213874,430.91,4.9,0.0,IC50,'=',2.0,nM,8.7,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCC1CCN(C)CC1
CHEMBL376089,415.86,4.57,0.0,IC50,'=',300.0,nM,6.52,COc1cc2c(cc1OC)Nc1ncnc(NCc3ccc(F)c(Cl)c3)c1NC2
CHEMBL215055,428.29,4.67,0.0,IC50,'=',1500.0,nM,5.82,COc1cc2c(cc1OC)Nc1ncnc(Nc3cccc(Br)c3)c1NC2
CHEMBL162622,429.32,3.28,0.0,IC50,'=',7.9,nM,8.1,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1
CHEMBL217090,527.02,5.18,2.0,IC50,'=',900.0,nM,6.05,Clc1ccc2c(c1Nc1ncnc3cc(OCCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2
CHEMBL31965,485.95,4.39,0.0,IC50,'=',7.4,nM,8.13,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
CHEMBL460731,466.97,3.96,0.0,IC50,'=',20.0,nM,7.7,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1
CHEMBL419047,356.4,2.79,0.0,IC50,'=',2500.0,nM,5.6,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccc(O)cc2)c1O
CHEMBL47986,179.18,0.81,0.0,IC50,'=',2000.0,nM,5.7,O=CN/C=C/c1cc(O)ccc1O
CHEMBL125035,296.29,2.13,0.0,IC50,'=',4250.0,nM,5.37,Nc1cc2ncnc(NCc3ccccc3[N+](=O)[O-])c2cn1
CHEMBL92086,383.25,4.65,0.0,IC50,'=',16.0,nM,7.8,C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL424375,389.46,2.76,0.0,IC50,'=',6400.0,nM,5.19,COc1cccc(-c2cn(-c3ccc(CNCCO)cc3)c3ncnc(N)c23)c1
CHEMBL64894,407.99,4.46,0.0,IC50,'=',473.0,nM,6.33,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-]
CHEMBL309392,533.56,0.4,1.0,IC50,'=',17000.0,nM,4.77,C[C@@H](NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)N[C@H](C)C(=O)NCCN
CHEMBL279459,479.33,4.8,0.0,IC50,'=',400.0,nM,6.4,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCNCC1
CHEMBL1202478,523.83,5.31,1.0,IC50,'=',100.0,nM,7.0,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl
CHEMBL432428,340.4,2.92,0.0,IC50,'=',940.0,nM,6.03,N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O
CHEMBL168363,371.43,4.15,0.0,IC50,'=',1200.0,nM,5.92,O=C(OCC1CCCCC1)c1cc(NCc2cc(O)ccc2O)ccc1O
CHEMBL418907,379.35,2.41,0.0,IC50,'=',2800.0,nM,5.55,COc1cc(/C=C/[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)O)cc1
CHEMBL417941,286.33,2.45,0.0,IC50,'=',15000.0,nM,4.82,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NC1CCCCC1
CHEMBL434828,446.31,5.18,1.0,IC50,'=',9.1,nM,8.04,O=C(/C=C/c1ccccc1)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL132907,273.29,2.5,0.0,IC50,'=',20000.0,nM,4.7,COC(=O)c1cc(NCc2ccccc2O)ccc1O
CHEMBL5997059,853.98,2.79,2.0,IC50,'=',11000.0,nM,4.96,COC1CCN(c2nccc(Nc3cc4c(cn3)nc(COCCOCCN3CCN(CCOc5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC3)n4C(C)C)n2)CC1
CHEMBL5858289,1062.3,,,IC50,'=',8300.0,nM,5.08,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@H]2C[C@H](O)CN2C(=O)[C@@H](NC(=O)COCCN2CCN(CCCC#Cc3cccc4c3C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)CC2)C(C)(C)C)cc1
CHEMBL6028345,947.61,6.27,3.0,IC50,'=',19000.0,nM,4.72,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCN2CCN(Cc3ccc(-c4cc5c(NCc6ccccc6Cl)ncnc5[nH]4)cc3)CC2)C(C)(C)C)cc1
CHEMBL5944645,952.51,4.6,2.0,IC50,'=',450.0,nM,6.35,O=C1CCC(N2C(=O)c3cccc(NCCOCCOCCOCCOCCOCCN4CCN(Cc5ccc(-c6cc7c(NCc8ccccc8Cl)ncnc7[nH]6)cc5)CC4)c3C2=O)C(=O)N1
CHEMBL5876660,953.56,6.56,3.0,IC50,'=',4400.0,nM,5.36,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCOc2ccc(-c3cc4c(NCc5ccccc5Cl)ncnc4[nH]3)cc2)C(C)(C)C)cc1
CHEMBL5862480,785.86,3.19,2.0,IC50,'=',11000.0,nM,4.96,COC1CCN(c2nccc(Nc3cc4c(cn3)nc(COCCOCCOCCOc3ccc5c(c3)C(=O)N(C3CCC(=O)NC3=O)C5=O)n4C(C)C)n2)CC1
CHEMBL55425,432.93,5.29,1.0,IC50,'=',57.0,nM,7.24,CCN(CC)CCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC
CHEMBL281300,393.24,4.74,0.0,IC50,'=',86.9,nM,7.06,C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1
CHEMBL348116,374.49,5.58,1.0,IC50,'=',32000.0,nM,4.5,N#CCc1c(SSc2[nH]c3ccccc3c2CC#N)[nH]c2ccccc12
CHEMBL162053,401.31,3.53,0.0,IC50,'=',8.1,nM,8.09,CN(C)CCN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL165574,443.35,3.67,0.0,IC50,'=',5.9,nM,8.23,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1
CHEMBL505705,598.55,0.9,2.0,IC50,'=',600.0,nM,6.22,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC(=O)c2ccc(S(=O)(=O)Oc3ccc(/C=C/[N+](=O)[O-])cc3)cc2)[C@@H](O)[C@H]1O
CHEMBL120719,304.33,2.15,0.0,IC50,'=',54000.0,nM,4.27,COc1cc(C=C(C#N)C#N)cc(CSCC(=O)O)c1O
CHEMBL6017443,516.55,5.84,2.0,IC50,'=',1033.0,nM,5.99,Cc1cc(Nc2ncnc3cccc(OC4CCN(C)CC4(F)F)c23)ccc1Oc1ccc2ccnn2c1
CHEMBL5797736,565.56,5.38,2.0,IC50,'=',2918.0,nM,5.54,COc1cc(OC2CCN(C)CC2(F)F)c2c(Nc3ccc(Oc4cc5ncnn5cc4F)c(C)c3)ncnc2c1
CHEMBL325589,398.25,4.44,0.0,IC50,'=',510.0,nM,6.29,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccnc3)nc21
